Date,Close/Last,Volume,Open,High,Low
08/15/2024,$214.94,543243,$213.48,$215.515,$213.44
08/14/2024,$212.55,710997,$211.97,$212.785,$210.83
08/13/2024,$211.02,413220,$208.46,$211.36,$208.24
08/12/2024,$205.98,521247,$207.08,$207.80,$205.51
08/09/2024,$208.53,593303,$205.755,$208.99,$205.755
08/08/2024,$206.28,1038268,$203.09,$206.95,$201.71
08/07/2024,$201.59,715138,$203.88,$205.91,$201.36
08/06/2024,$201.73,898754,$201.29,$204.55,$201.03
08/05/2024,$199.03,1473943,$195.10,$200.78,$194.93
08/02/2024,$204.72,1144568,$204.08,$204.99,$202.67
08/01/2024,$205.56,681867,$208.69,$211.09,$204.35
07/31/2024,$211.60,491452,$210.71,$212.435,$209.70
07/30/2024,$206.76,1045553,$207.79,$208.68,$206.37
07/29/2024,$209.20,1005314,$211.27,$211.85,$208.69
07/26/2024,$213.45,688337,$211.71,$214.05,$210.91
07/25/2024,$210.81,1378093,$210.28,$213.77,$208.90
07/24/2024,$209.40,1380749,$211.85,$212.33,$208.97
07/23/2024,$214.76,2594221,$212.56,$214.94,$211.00
07/22/2024,$200.47,1058545,$199.23,$201.30,$199.04
07/19/2024,$197.21,699570,$196.76,$198.62,$196.655
07/18/2024,$197.23,795766,$200.63,$200.77,$196.14
07/17/2024,$200.01,790531,$201.51,$202.16,$199.17
07/16/2024,$204.87,425757,$204.49,$204.91,$203.50
07/15/2024,$203.51,493669,$205.33,$205.71,$203.25
07/12/2024,$205.11,635298,$202.88,$206.34,$202.47
07/11/2024,$201.73,612985,$203.77,$204.135,$201.37
07/10/2024,$202.29,465931,$201.27,$202.415,$200.59
07/09/2024,$200.28,654171,$202.65,$202.65,$199.585
07/08/2024,$202.79,544975,$205.65,$205.73,$202.46
07/05/2024,$205.94,552350,$205.71,$206.08,$203.73
07/03/2024,$203.02,471633,$201.16,$203.25,$201.11
07/02/2024,$198.58,596360,$197.68,$199.33,$197.5469
07/01/2024,$199.42,753359,$200.54,$200.84,$198.58
06/28/2024,$201.71,843472,$201.76,$204.332,$200.89
06/27/2024,$200.75,763223,$199.67,$201.4499,$199.6121
06/26/2024,$198.59,1205798,$197.33,$199.34,$197.04
06/25/2024,$195.74,696221,$193.01,$195.79,$192.41
06/24/2024,$191.69,709854,$192.14,$193.33,$191.59
06/21/2024,$194.16,650838,$192.88,$194.30,$192.01
06/20/2024,$191.47,1168790,$190.49,$193.44,$190.21
06/18/2024,$188.62,681623,$188.80,$189.8212,$188.45
06/17/2024,$190.02,1070256,$188.71,$190.409,$188.17
06/14/2024,$187.82,1359746,$188.16,$188.69,$186.50
06/13/2024,$192.42,909625,$195.10,$195.52,$190.33
06/12/2024,$197.20,1325123,$195.17,$197.4311,$194.90
06/11/2024,$188.74,1006310,$187.19,$189.55,$186.40
06/10/2024,$190.24,456357,$188.83,$190.515,$188.755
06/07/2024,$191.10,512919,$191.73,$192.33,$190.91
06/06/2024,$193.04,852121,$194.31,$194.47,$192.70
06/05/2024,$188.75,697672,$186.17,$188.78,$185.37
06/04/2024,$184.22,470463,$184.00,$184.99,$183.23
06/03/2024,$184.24,755011,$183.90,$184.40,$181.8401
05/31/2024,$182.44,848719,$181.98,$182.6499,$179.4311
05/30/2024,$180.25,1950765,$185.25,$185.53,$179.76
05/29/2024,$190.37,747464,$189.96,$191.14,$189.74
05/28/2024,$192.52,794943,$193.91,$194.04,$191.67
05/24/2024,$195.38,651789,$194.62,$195.64,$193.26
05/23/2024,$195.02,844081,$196.75,$196.9875,$193.9701
05/22/2024,$193.91,540824,$194.00,$195.08,$193.63
05/21/2024,$194.72,843010,$195.19,$195.81,$194.59
05/20/2024,$195.30,701764,$194.14,$195.75,$193.85
05/17/2024,$192.80,570039,$191.12,$193.09,$190.80
05/16/2024,$190.67,855457,$192.55,$192.91,$190.64
05/15/2024,$192.44,528353,$189.98,$192.45,$189.84
05/14/2024,$189.70,495758,$189.15,$189.93,$188.527
05/13/2024,$189.96,356188,$190.91,$191.20,$189.705
05/10/2024,$190.05,541770,$189.70,$190.69,$189.41
05/09/2024,$191.99,652583,$190.41,$192.03,$190.18
05/08/2024,$190.31,907600,$188.89,$190.37,$188.64
05/07/2024,$187.54,483637,$187.04,$188.305,$186.65
05/06/2024,$185.41,419159,$183.99,$185.47,$183.72
05/03/2024,$183.45,377178,$183.61,$184.26,$182.83
05/02/2024,$180.64,731401,$181.49,$181.64,$179.71
05/01/2024,$180.07,622186,$181.70,$183.43,$179.153
04/30/2024,$181.21,773268,$182.65,$183.46,$180.92
04/29/2024,$183.77,477571,$184.77,$184.85,$183.07
04/26/2024,$186.18,920934,$185.69,$186.87,$185.58
04/25/2024,$185.09,1557175,$181.37,$185.27,$180.16
04/24/2024,$188.07,1188988,$188.53,$189.27,$186.61
04/23/2024,$188.01,1649249,$184.83,$188.25,$184.82
04/22/2024,$178.18,1062911,$176.59,$178.99,$176.14
04/19/2024,$175.77,954206,$178.21,$178.63,$175.08
04/18/2024,$178.64,1502909,$179.91,$180.83,$178.08
04/17/2024,$179.94,489789,$181.76,$181.76,$179.23
04/16/2024,$180.56,799423,$181.50,$182.34,$180.13
04/15/2024,$180.23,529741,$184.17,$184.45,$180.20
04/12/2024,$180.78,986987,$181.59,$182.75,$180.57
04/11/2024,$185.67,1037220,$183.98,$185.97,$181.99
04/10/2024,$184.22,682379,$184.88,$185.83,$183.50
04/09/2024,$187.89,995403,$189.80,$190.13,$186.71
