新课程序号,课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
CEC121001,5000033001001,英语公共演讲,3,,王欢,03106,,公共基础课,英语,四平路校区,2025(美国石溪大学FLY项目 90101),0,1,16,王欢(03106) 星期一5-7节 [1-16] 沪北校区泰禾楼606
CEC121101,5000033001101,生态与文化,3,,陈静,11127,,公共基础课,英语,四平路校区,2025(美国石溪大学FLY项目 90101),0,1,16,陈静(11127) 星期三5-7节 [1-16] 沪北校区泰禾楼606
IVE000902,5000034000402,德国文化与教育,2,,鄢彩玲,21106,,社会发展与国际视野,中文,嘉定校区,,5,1,16,鄢彩玲(21106) 星期三9-10节 [1-16] 安楼A302
IVE280701,WF5000034001501,教学设计,2,,王路炯,00020,,必修课程,中文,四平路校区,2024( WF00003401),0,1,16,王路炯(00020) 星期五5-6节 [1-16] 线上课堂
LIB130102,34001002,文献检索,2,,张轶群,89861,,专业基础课,中文,四平路校区,"2024(口腔医学 14025),2024(口腔医学“5+3”一体化拔尖创新实验班 14201)",60,1,8,张轶群(89861) 星期三1-4节 [1-8] 南111
LIB130101,34001001,文献检索,2,,王爽快,24054,,专业基础课,中文,沪西校区,"2024(医学试验班(国豪精英班) 09007),2024(基础医学 14060),2024(临床医学(中德实验班) 14061),2024(临床医学(领军人才培养) 14065)",69,1,8,王爽快(24054) 星期四5-8节 [1-8] 学校机房414(沪西)
LIB000105,34001205,科技文献检索与利用,2,,刘玉红,07054,,通识选修课,中文,嘉定校区,,6,1,16,刘玉红(07054) 星期四9-10节 [1-16] 安楼A110
LIB000104,34001204,科技文献检索与利用,2,,"李华,朱梦皎","13060,17076",",",通识选修课,中文,四平路校区,,8,1,16,朱梦皎(17076) 星期三7-8节 [1-8] 北216 李华(13060) 星期三7-8节 [9-16] 北216
LIB000103,34001203,科技文献检索与利用,2,,邬宁芬,03061,,通识选修课,中文,四平路校区,,0,1,16,邬宁芬(03061) 星期四7-8节 [1-16] 北215
LIB000102,34001202,科技文献检索与利用,2,,刘玉红,07054,,通识选修课,中文,嘉定校区,,21,1,16,刘玉红(07054) 星期一7-8节 [1-16] 安楼A112
LIB000101,34001201,科技文献检索与利用,2,,邬宁芬,03061,,通识选修课,中文,四平路校区,,2,1,16,邬宁芬(03061) 星期一7-8节 [1-16] 北215
ISC120201,13003301,中国概况,2,,"宗骞,李钰倩,张林华,孙宜学","16152,18056,18070,98078",",,,",公共基础课,中文,四平路校区,2025(留学生班 13012),0,1,16,孙宜学(98078) 星期二9-10节 [15] 南校区二教312教室 李钰倩(18056) 星期二9-10节 [11-13] 南校区二教312教室 张林华(18070) 星期二9-10节 [7-10] 南校区二教312教室 宗骞(16152) 星期二9-10节 [1-6 14-16双] 南校区二教312教室
ISC110101,13010101,中国概论（英）,2,,程妤,08035,,通识必修课,中文,四平路校区,"2025(建筑学(国际班) 02002),2025(土木工程(国际班) 03074),2025(临床医学(MBBS) 14001)",57,1,16,程妤(08035) 星期四1-2节 [1-16] 南301
ISC150101,13010201,中国历史与文化（中外）,2,,张占山,06101,,社会发展与国际视野,中文,四平路校区,,9,1,16,张占山(06101) 星期三9-10节 [1-16] 南218
ISC000101,13010401,中国社会与文化,2,,张占山,06101,,社会发展与国际视野,中文,四平路校区,,53,1,16,张占山(06101) 星期四9-10节 [1-16] 南218
ISC310201,13010701,初级中文,6,,顾春燕,1905054,,通识必修课,中文,四平路校区,2023(工商管理(国际班) 01025),0,1,16,顾春燕(1905054) 星期一9-11节 [1-16] 南216 顾春燕(1905054) 星期三9-11节 [1-16] 南216
ISC131501,13011201,初级读写(2),2,,张占山,06101,,专业基础课,中文,四平路校区,2025(汉语言(汉语国际教育方向) 13001),2,1,16,张占山(06101) 星期三1-2节 [1-16] 南411
ISC131502,13011202,初级读写(2),2,,张占山,06101,,专业基础课,中文,四平路校区,2025(汉语言(经贸方向) 13014),18,1,16,张占山(06101) 星期四1-2节 [1-16] 南415
ISC330601,13011401,高级汉语(2),6,,潘海峰,11115,,专业基础课,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",19,1,16,潘海峰(11115) 星期三1-4节 [1-16] 南421 潘海峰(11115) 星期四3-4节 [1-16] 南421
ISC332301,13011501,高级写作(2),2,,许歆媛,16010,,专业基础课,中文,四平路校区,2023(汉语言(汉语国际教育方向) 13001),1,1,16,许歆媛(16010) 星期一1-2节 [1-16] 南校区二教213
ISC231701,13011701,中级泛读(2),2,,凌璧君,06100,,专业基础课,中文,四平路校区,"2024(汉语言(汉语国际教育方向) 13001),2024(汉语言(经贸方向) 13014)",28,1,16,凌璧君(06100) 星期三1-2节 [1-16] 南410
ISC231301,13012001,中级听和说(2),2,,凌璧君,06100,,专业基础课,中文,四平路校区,"2024(汉语言(汉语国际教育方向) 13001),2024(汉语言(经贸方向) 13014)",28,1,16,凌璧君(06100) 星期四3-4节 [1-16] 南122
ISC231901,13012101,中级写作(2),2,,陈晨,22202,,专业基础课,中文,四平路校区,"2024(汉语言(汉语国际教育方向) 13001),2024(汉语言(经贸方向) 13014)",28,1,16,陈晨(22202) 星期四5-6节 [1-16] 南420
ISC340801,13012201,汉语词汇概述,2,,侯文玉,03173,,专业选修课,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",19,1,16,侯文玉(03173) 星期二3-4节 [1-16] 南122
ISC210201,13012301,中国简史,2,,"王琼,孙宜学","11116,98078",",",通识必修课,中文,四平路校区,"2024(汉语言(汉语国际教育方向) 13001),2024(汉语言(经贸方向) 13014)",28,1,16,孙宜学(98078) 星期四1-2节 [3-4] 南122 王琼(11116) 星期四1-2节 [1-2 5-16] 南122
ISC130901,13013201,初级会话(2),2,,黄亚欣,22196,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",19,1,16,黄亚欣(22196) 星期一1-2节 [1-16] 南411
ISC130902,13013202,初级会话(2),2,,罗顺,23090,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",18,1,16,罗顺(23090) 星期一1-2节 [1-16] 南414
ISC131101,13013401,初级听力(2),2,,许歆媛,16010,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",19,1,16,许歆媛(16010) 星期一3-4节 [1-16] 南418
ISC131102,13013402,初级听力(2),2,,姚伟嘉,16065,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",18,1,16,姚伟嘉(16065) 星期一3-4节 [1-16] 南409
ISC351101,13014501,教育心理学概论,2,,凌璧君,06100,,专业选修课,中文,四平路校区,2023(汉语言(汉语国际教育方向) 13001),1,1,16,凌璧君(06100) 星期四1-2节 [1-16] 南校区二教213
ISC210301,13015201,《中国文化》,2,,陈晨,22202,,通识必修课,中文,四平路校区,"2024(汉语言(汉语国际教育方向) 13001),2024(汉语言(经贸方向) 13014)",27,1,16,陈晨(22202) 星期三7-8节 [1-16] 南414
ISC350901,13015801,中国现当代文学（汉语言）,2,,王琼,11116,,专业选修课,中文,四平路校区,2023(汉语言(汉语国际教育方向) 13001),1,1,16,王琼(11116) 星期一3-4节 [1-16] 南校区二教213
ISC341001,13016501,语言与文化（汉语言）,2,,李挺,13010,,专业必修课,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",19,1,16,李挺(13010) 星期一7-8节 [1-16] 北108
ISC160101,13017001,普通话语音训练,2,,许歆媛,16010,,实践环节课程,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",37,1,16,许歆媛(16010) 星期三5-6节 [1-16] 南220
ISC460701,13017601,毕业论文（汉语言）,0,,李海燕,11113,,实践环节课程,中文,四平路校区,"2022(汉语言(汉语国际教育方向) 13001),2022(汉语言(经贸方向) 13014)",13,1,16,李海燕(11113) 星期六1-2节 [1-16] 南校区二教213
ISC120402,13018002,专业汉语（下）,6,,李海燕,11113,,公共基础课,中文,四平路校区,2025(留学生班 13012),0,1,16,李海燕(11113) 星期三3-6节 [1-16] 南校区二教312教室 李海燕(11113) 星期四5-6节 [1-16] 南校区二教312教室
ISC120401,13018001,专业汉语（下）,6,,"郑婕,赵莹","11111,13008",",",通识必修课,中文,四平路校区,"2025(建筑学(国际班) 02002),2025(土木工程(国际班) 03074)",58,1,16,郑婕(11111) 星期三1-2节 [1-16] 北313 赵莹(13008) 星期四7-10节 [1-16] 北313
ISC332101,13018301,商务写作（2）,2,,凌璧君,06100,,专业基础课,中文,四平路校区,2023(汉语言(经贸方向) 13014),18,1,16,凌璧君(06100) 星期三5-6节 [1-16] 北319
ISC460501,13018501,表达训练,2,,李挺,13010,,实践环节课程,中文,四平路校区,"2022(汉语言(汉语国际教育方向) 13001),2022(汉语言(经贸方向) 13014)",13,1,16,李挺(13010) 星期三5-6节 [1-16] 南310
ISC350501,13018901,跨文化交际案例分析,2,,侯文玉,03173,,专业选修课,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",19,1,16,侯文玉(03173) 星期二1-2节 [1-16] 南122
ISC460401,13019401,国际学生职业素养,2,,许歆媛,16010,,实践环节课程,中文,四平路校区,"2022(汉语言(汉语国际教育方向) 13001),2022(汉语言(经贸方向) 13014)",13,1,16,许歆媛(16010) 星期三3-4节 [1-16] 南307
ISC340301,13019801,经贸口语（2）,2,,侯文玉,03173,,专业必修课,中文,四平路校区,2023(汉语言(经贸方向) 13014),18,1,16,侯文玉(03173) 星期一3-4节 [1-16] 南115
ISC130201,5000039000101,初级汉语（2）,8,,李挺,13010,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",19,1,16,李挺(13010) 星期一5-6节 [1-16] 南411 李挺(13010) 星期二1-4节 [1-16] 南411 李挺(13010) 星期三3-4节 [1-16] 南411
ISC130202,5000039000102,初级汉语（2）,8,,王琼,11116,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",18,1,16,王琼(11116) 星期一5-6节 [1-16] 南416 王琼(11116) 星期二1-4节 [1-16] 南416 王琼(11116) 星期三3-4节 [1-16] 南416
ISC230401,5000039000301,中级汉语（2）,8,,夏雪飞,11117,,专业基础课,中文,四平路校区,"2024(汉语言(汉语国际教育方向) 13001),2024(汉语言(经贸方向) 13014)",28,1,16,夏雪飞(11117) 星期一3-4节 [1-16] 南414 夏雪飞(11117) 星期二3-4节 [1-16] 南414 夏雪飞(11117) 星期三3-6节 [1-16] 南414
ISC260201,5000039000601,HSK应试辅导,3,,侯文玉,03173,,实践环节课程,中文,四平路校区,"2024(汉语言(汉语国际教育方向) 13001),2024(汉语言(经贸方向) 13014)",26,1,16,侯文玉(03173) 星期一5-7节 [1-16] 北222
ISC120101,5000039000701,人工智能科学与技术（人文科学类）,2,,"姚伟嘉,梁毅军","16065,93128",",",公共基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",37,1,16,梁毅军(93128) 星期四3-4节 [6 16] 南211 姚伟嘉(16065) 星期四3-4节 [1-5 7-15] 南211
TWC000101,16003001,形体训练,2,,别蓁蓁,01095,,人文经典与审美素养,中文,四平路校区,,5,1,16,别蓁蓁(01095) 星期三9-10节 [1-16] 南校区三教209
,16004301,人力资源管理与女性职业生涯规划,2,,彭贤杰,02109,,社会发展与国际视野,中文,四平路校区,,5,1,16,彭贤杰(02109) 星期三7-8节 [1-16] 北207
TWC000301,16006001,自我认知与人际沟通,2,,樊秀娣,86068,,社会发展与国际视野,中文,四平路校区,,31,1,16,樊秀娣(86068) 星期三7-8节 [1-16] 北209
,16006201,古琴入门,2,,"倪诗韵,倪羽朦","1700508,1700509","null,null",人文经典与审美素养,中文,四平路校区,,26,1,16,倪羽朦(1700509) 星期一7-8节 [2-16] 艺术传媒学院322教室 倪诗韵(1700508) 星期一7-8节 [1] 艺术传媒学院322教室
TWC000401,16006301,卓越女性成长,2,,"李岩,颜琼枝,何敏娟,徐红,肖辉,马锦明,于一凡","03104,2000512,88055,92156,92193,95013,96016",",,,,,,",社会发展与国际视野,中文,四平路校区,,21,1,16,于一凡(96016) 星期四7-8节 [10-12] 北216 李岩(03104) 星期四7-8节 [15-16] 北216 颜琼枝(2000512) 星期四7-8节 [7-8] 北216 徐红(92156) 星期四7-8节 [2 5] 北216 何敏娟(88055) 星期四7-8节 [4 14] 北216 肖辉(92193) 星期四7-8节 [6 13] 北216 马锦明(95013) 星期四7-8节 [1-3单 9] 北216
TWC000501,16006401,国乐艺术赏析——古筝演奏中级,2,,陈珏,03121,,人文经典与审美素养,中文,四平路校区,,7,1,16,陈珏(03121) 星期一7-8节 [1-16] 南校区三教206
CDH340201,5000064000301,企业经济学与质量管理,2,,王继平,93161,,专业必修课,中文,嘉定校区,"2023(机械电子工程 51014),2023(汽车服务工程 51024)",62,1,16,王继平(93161) 星期二3-4节 [1-16] 广楼G109
CDH130203,5000064000503,德语（二）,14,,黎东方,97029,,专业基础课,中文,四平路校区,2025(机械类(中外合作办学) 51001),8,1,16,黎东方(97029) 星期一5-8节 [1-16] 南114 黎东方(97029) 星期四5-10节 [1-16] 南114 黎东方(97029) 星期五5-8节 [1-16] 南114
CDH130202,5000064000502,德语（二）,14,,RABENECK SOREN,2300081,,专业基础课,中文,四平路校区,2025(机械类(中外合作办学) 51001),4,1,16,RABENECK SOREN(2300081) 星期一5-8节 [1-16] 北316 RABENECK SOREN(2300081) 星期四5-10节 [1-16] 北316 RABENECK SOREN(2300081) 星期五5-8节 [1-16] 北316
CDH130201,5000064000501,德语（二）,14,,"俞宙明,曾移红","01063,12666035","讲师,null",专业基础课,中文,四平路校区,2025(机械类(中外合作办学) 51001),40,1,16,俞宙明(01063) 星期一5-8节 [1-16] 南117 曾移红(12666035) 星期四5-10节 [1-16] 南117 曾移红(12666035) 星期五5-8节 [1-16] 南117
CDH130206,5000064000506,德语（二）,14,,葛彦之,00079,,专业基础课,中文,四平路校区,2025(机械类(中外合作办学) 51001),39,1,16,葛彦之(00079) 星期一5-8节 [1-16] 北322 葛彦之(00079) 星期四5-10节 [1-16] 北322 葛彦之(00079) 星期五5-8节 [1-16] 北322
CDH130205,5000064000505,德语（二）,14,,徐琴,96023,,专业基础课,中文,四平路校区,2025(机械类(中外合作办学) 51001),40,1,16,徐琴(96023) 星期一5-8节 [1-16] 北307 徐琴(96023) 星期四5-10节 [1-16] 北307 徐琴(96023) 星期五5-8节 [1-16] 北307
CDH130204,5000064000504,德语（二）,14,,黄鹂,13666077,,专业基础课,中文,四平路校区,2025(机械类(中外合作办学) 51001),40,1,16,黄鹂(13666077) 星期一5-8节 [1-16] 北320 黄鹂(13666077) 星期四5-10节 [1-16] 北320 黄鹂(13666077) 星期五5-8节 [1-16] 北320
CDH354301,5000064001001,新能源技术,2,,Martin Thomas Renner,1801055,,专业必修课,德语,嘉定校区,2023(建筑电气与智能化 51034),5,2,3,Martin Thomas Renner(1801055) 星期一3-6节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期三5-8节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期五3-6节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期六3-6节 [2-3] 诚楼C410B
CDH354801,5000064001101,能源互联网与智能电网,2,,"张永明,苏灵奇","14152,24154",",",专业必修课,中文,嘉定校区,2023(建筑电气与智能化 51034),8,1,16,苏灵奇(24154) 星期三1-2节 [7-16] 安楼A402 张永明(14152) 星期三1-2节 [1-6] 安楼A402
CDH231601,5000064001201,建筑CAD与BIM技术,1,,"史洁,苏灵奇","10067,24154",",",专业基础课,中文,嘉定校区,2024(建筑电气与智能化 51034),10,1,16,苏灵奇(24154) 星期四7-8节 [10-16双] 济事楼126 史洁(10067) 星期四7-8节 [2-8双] 济事楼126
CDH341501,5000064001401,建筑电气工程,3,,"张永明,肖辉","14152,92193",",",专业必修课,中文,嘉定校区,2023(建筑电气与智能化 51034),8,1,16,张永明(14152) 星期三3-4节 [1-13单] 诚楼C408A 肖辉(92193) 星期三3-4节 [15] 诚楼C408A 肖辉(92193) 星期四3-4节 [15] 诚楼C408A 张永明(14152) 星期四3-4节 [1-14 16] 诚楼C408A
CDH231701,5000064001601,房屋建筑与工程学,3,,"史洁,苏灵奇","10067,24154",",",专业基础课,中文,嘉定校区,2024(建筑电气与智能化 51034),10,1,16,苏灵奇(24154) 星期四9-11节 [9-16] 安楼A402 史洁(10067) 星期四9-11节 [1-8] 安楼A402
CDH360201,5000064002001,机电系统设计开发,6,,"王玉,谢楠,Bernhard Zimmermann,Knut Meißner","05022,09060,1801051,2300096",",,null,null",实践环节课程,双语(其他),嘉定校区,2023(机械电子工程 51014),59,1,16,"王玉(05022),谢楠(09060) 星期五1-6节 [3-12 15-16] 专业实验室 Knut Meißner(2300096) 星期五1-6节 [1-2] 专业实验室 Bernhard Zimmermann(1801051) 星期五1-6节 [13-14] 专业实验室"
CDH230504,5000064002204,德语（五）,10,,庄亦男,11666077,,专业基础课,双语(其他),嘉定校区,"2024(机械电子工程 51014),2024(汽车服务工程 51024),2024(建筑电气与智能化 51034)",9,1,16,庄亦男(11666077) 星期二1-4节 [1-16] 安楼A302 庄亦男(11666077) 星期五1-6节 [1-16] 安楼A302
CDH230503,5000064002203,德语（五）,10,,朱金锋,15666037,,专业基础课,双语(其他),嘉定校区,"2024(机械电子工程 51014),2024(汽车服务工程 51024),2024(建筑电气与智能化 51034)",28,1,16,朱金锋(15666037) 星期二1-4节 [1-16] 安楼A409 朱金锋(15666037) 星期五1-6节 [1-16] 安楼A409
CDH230502,5000064002202,德语（五）,10,,刘静,02168,,专业基础课,双语(其他),嘉定校区,"2024(机械电子工程 51014),2024(汽车服务工程 51024),2024(建筑电气与智能化 51034)",30,1,16,刘静(02168) 星期二1-4节 [1-16] 安楼A407 刘静(02168) 星期五1-6节 [1-16] 安楼A407
CDH230501,5000064002201,德语（五）,10,,张剑平,08072,,专业基础课,双语(其他),嘉定校区,"2024(机械电子工程 51014),2024(汽车服务工程 51024),2024(建筑电气与智能化 51034)",30,1,16,张剑平(08072) 星期二1-4节 [1-16] 安楼A405 张剑平(08072) 星期五1-6节 [1-16] 安楼A405
,5000064003001,项目管理与实践（2）,6,,"UlrichRudolph,MalteBeinhauer,尤筱玥","1501021,1501023,19069","null,null,",实践环节课程,德语,嘉定校区,2023(机械电子工程 51014),5,1,16,UlrichRudolph(1501021) 星期一5-8节 [11] 济事楼214 尤筱玥(19069) 星期一5-8节 [14-16] 济事楼214 MalteBeinhauer(1501023) 星期一5-8节 [12-13] 济事楼214 UlrichRudolph(1501021) 星期三5-8节 [11] 济事楼214 尤筱玥(19069) 星期三5-8节 [14-16] 济事楼214 MalteBeinhauer(1501023) 星期三5-8节 [12-13] 济事楼214 UlrichRudolph(1501021) 星期四9-11节 [11] 济事楼214 尤筱玥(19069) 星期四9-11节 [14-16] 济事楼214 MalteBeinhauer(1501023) 星期四9-11节 [12-13] 济事楼214 UlrichRudolph(1501021) 星期五1-5节 [11] 济事楼214 尤筱玥(19069) 星期五1-5节 [14-16] 济事楼214 MalteBeinhauer(1501023) 星期五1-5节 [12-13] 济事楼214
CDH230301,51002001,制造技术基础,4,,"Carolin Radscheit,Frank Pöhlau","1805011,2400912","null,null",专业基础课,德语,嘉定校区,"2024(机械电子工程 51014),2024(汽车服务工程 51024)",120,11,14,Frank Pöhlau(2400912) 星期三5-8节 [13-14] 复楼F204 Carolin Radscheit(1805011) 星期三5-8节 [11-12] 复楼F204 Frank Pöhlau(2400912) 星期四5-8节 [13-14] 复楼F204 Carolin Radscheit(1805011) 星期四5-8节 [11-12] 复楼F204 Carolin Radscheit(1805011) 星期五7-10节 [11-12] 复楼F204 Frank Pöhlau(2400912) 星期五7-10节 [13-14] 复楼F204 Frank Pöhlau(2400912) 星期六1-4节 [13-14] 复楼F204 Carolin Radscheit(1805011) 星期六1-4节 [11-12] 复楼F204
CDH230302,51002002,制造技术基础,4,,"谢春,刘晋飞","01053,14165",",",专业基础课,中文,嘉定校区,"2024(机械电子工程 51014),2024(汽车服务工程 51024)",29,1,16,"谢春(01053),刘晋飞(14165) 星期一9-10节 [1-16] 安楼A202 谢春(01053),刘晋飞(14165) 星期五7-8节 [1-16] 安楼A202"
CDH351401,51003001,控制技术,4,,wiedmann.Hans,12858,,专业选修课,德语,嘉定校区,2023(机械电子工程 51014),38,3,6,wiedmann.Hans(12858) 星期一5-8节 [3-6] 博楼B106 wiedmann.Hans(12858) 星期三5-8节 [3-6] 博楼B106 wiedmann.Hans(12858) 星期五7-10节 [3-6] 博楼B106 wiedmann.Hans(12858) 星期六1-4节 [3-6] 博楼B106
CDH354401,51006101,燃烧与供暖技术,4,,"Stefan Zundel,Robert Franz Grob","1801054,2400909","null,null",专业必修课,德语,嘉定校区,2023(建筑电气与智能化 51034),5,11,14,Stefan Zundel(1801054) 星期一3-6节 [11-12] 诚楼C410B Robert Franz Grob(2400909) 星期一3-6节 [13-14] 诚楼C410B Stefan Zundel(1801054) 星期三5-8节 [11-12] 诚楼C410B Robert Franz Grob(2400909) 星期三5-8节 [13-14] 诚楼C410B Stefan Zundel(1801054) 星期五3-6节 [11-12] 诚楼C410B Robert Franz Grob(2400909) 星期五3-6节 [13-14] 诚楼C410B Robert Franz Grob(2400909) 星期六3-6节 [13-14] 诚楼C410B Stefan Zundel(1801054) 星期六3-6节 [11-12] 诚楼C410B
CDH354501,51006401,能源经济学与能源技术、可再生能源,4,,"ChristianSchweigler,Timm Heinzel","1400397,1805259","null,null",专业必修课,中文,嘉定校区,2023(建筑电气与智能化 51034),5,6,9,"Timm Heinzel(1805259) 星期一3-4节 [6-7] 诚楼C410B ChristianSchweigler(1400397) 星期一3-4节 [8-9] 诚楼C410B ChristianSchweigler(1400397),Timm Heinzel(1805259) 星期一5-6节 [6-9] 诚楼C410B ChristianSchweigler(1400397),Timm Heinzel(1805259) 星期三5-8节 [6-9] 诚楼C410B ChristianSchweigler(1400397),Timm Heinzel(1805259) 星期五3-6节 [6-9] 诚楼C410B ChristianSchweigler(1400397),Timm Heinzel(1805259) 星期六3-6节 [6-9] 诚楼C410B"
CDH341401,51019301,自动控制技术,3,,苏灵奇,24154,,专业必修课,中文,嘉定校区,2023(建筑电气与智能化 51034),8,1,16,苏灵奇(24154) 星期二3-4节 [1-16] 诚楼C408A 苏灵奇(24154) 星期三3-4节 [2-16双] 诚楼C408A
CDH251801,51020001,经济学,4,,周春燕,02151,,专业基础课,中文,嘉定校区,2024(机械电子工程 51014),20,1,16,周春燕(02151) 星期一1-2节 [1-16] 诚楼C411 周春燕(02151) 星期三1-2节 [1-16] 诚楼C411
CDH351901,51020801,生产与物流,4,,周春燕,02151,,专业基础课,中文,嘉定校区,2023(机械电子工程 51014),5,1,16,周春燕(02151) 星期一3-4节 [1-16] 博楼B402 周春燕(02151) 星期四7-8节 [1-16] 博楼B402
CDH230101,51024001,自动控制原理(1),4,,"靳文瑞,郭为安","09062,14015",",副教授",专业基础课,中文,嘉定校区,2024(机械电子工程 51014),122,1,16,郭为安(14015) 星期一7-8节 [9-16] 广楼G207 靳文瑞(09062) 星期一7-8节 [1-8] 广楼G207 靳文瑞(09062) 星期四3-4节 [1-8] 广楼G207 郭为安(14015) 星期四3-4节 [9-16] 广楼G207
CDH231501,51025801,热工原理,4,,庄智,11130,,专业基础课,中文,嘉定校区,2024(建筑电气与智能化 51034),10,1,16,庄智(11130) 星期一1-2节 [1-16] 诚楼C408A 庄智(11130) 星期三1-2节 [1-16] 诚楼C408A
CDH351501,51026901,微处理器技术,3,,陆贝尔,24056,,专业选修课,中文,嘉定校区,2023(机械电子工程 51014),41,1,16,陆贝尔(24056) 星期二9-11节 [1-16] 济事楼217
,51027001,系统建模与仿真,4,,王玉,05022,,专业必修课,中英,嘉定校区,2023(机械电子工程 51014),62,1,16,王玉(05022) 星期一1-2节 [1-16] 济事楼126 王玉(05022) 星期二1-2节 [1-16] 济事楼126
CDH354701,51028901,建筑电气设备,3,,张永明,14152,,专业必修课,中文,嘉定校区,2023(建筑电气与智能化 51034),8,1,16,张永明(14152) 星期二1-2节 [1-16] 安楼A402 张永明(14152) 星期四5-6节 [2-16双] 安楼A402
CDH354601,51029001,通风与空气调节技术,3,,范蕊,06096,,专业必修课,中文,嘉定校区,2023(建筑电气与智能化 51034),8,1,16,范蕊(06096) 星期四5-6节 [1-15单] 诚楼C408A 范蕊(06096) 星期五1-2节 [1-16] 诚楼C408A
CDH231301,51029601,自动控制原理,4,,李东洋,24134,工程师,专业基础课,中文,嘉定校区,2024(汽车服务工程 51024),29,1,16,李东洋(24134) 星期一1-2节 [1-16] 安楼A302 李东洋(24134) 星期三1-2节 [1-16] 安楼A302
CDH340701,51029701,汽车理论,4,,张涛,08019,,专业必修课,中文,嘉定校区,2023(汽车服务工程 51024),15,1,16,张涛(08019) 星期二1-2节 [1-16] 博楼B402 张涛(08019) 星期四3-4节 [1-16] 博楼B402
CDH352601,51029801,汽车电气与电子系统,4,,BoYuan,1400395,,专业必修课,德语,嘉定校区,2023(汽车服务工程 51024),7,2,8,BoYuan(1400395) 星期一5-9节 [2-3 7-8] 诚楼C411 BoYuan(1400395) 星期三5-9节 [2-3 7-8] 诚楼C411 BoYuan(1400395) 星期六1-6节 [2-3 7-8] 诚楼C411
CDH330601,51030101,工程热力学,2,,庄智,11130,,专业必修课,中文,嘉定校区,"2023(机械电子工程 51014),2024(汽车服务工程 51024)",92,1,16,庄智(11130) 星期三3-4节 [1-16] 安楼A208
,51030601,新能源汽车与智能网联技术,2,,靳文瑞,09062,,专业选修课,中文,嘉定校区,2023(汽车服务工程 51024),15,1,16,靳文瑞(09062) 星期三1-2节 [1-16] 博楼B302
CDH460404,51031504,毕业设计,0,,郭为安,14015,,实践环节课程,中文,嘉定校区,2022(汽车服务工程 51024),22,1,16,郭为安(14015) 星期一9-10节 [1-16] 企业实习
CDH460403,51031503,毕业设计,0,,张永明,14152,,实践环节课程,中文,嘉定校区,2022(建筑电气与智能化 51034),17,1,16,张永明(14152) 星期一9-10节 [1-16] 企业实习
CDH460402,51031502,毕业设计,0,,周春燕,02151,,实践环节课程,中文,嘉定校区,2022(机械电子工程 51014),22,1,16,周春燕(02151) 星期一9-10节 [1-16] 企业实习
CDH460401,51031501,毕业设计,0,,谢楠,09060,,实践环节课程,中文,嘉定校区,2022(机械电子工程 51014),57,1,16,谢楠(09060) 星期四9-10节 [1-16] 企业论文
CDH241201,51032601,网络与通讯系统,2,,谢楠,09060,,专业基础课,中文,嘉定校区,2024(建筑电气与智能化 51034),10,1,16,谢楠(09060) 星期一5-6节 [1-16] 诚楼C409
CDH330501,51034101,计算方法及其在工程中应用,2,,周娜,23132,,专业基础课,中文,嘉定校区,2023(机械电子工程 51014),62,1,16,周娜(23132) 星期四1-2节 [1-16] 博楼B106
