新课程序号,课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
CDI330202,55007502,设计技术4,4,杨皓(),杨皓,00042,,专业基础课,中文,四平路校区,"2023(工业设计 55024),2023(环境设计 55044)",23,1,16,杨皓(00042) 星期三5-8节 [1-16] IT211
CDI330201,55007501,设计技术4,4,王萌(),"王萌,胡琳娜","23080,24077",",",专业基础课,中文,四平路校区,"2023(工业设计(精英班) 09039),2023(工业设计 55024),2023(产品设计 55054)",34,1,16,"王萌(23080),胡琳娜(24077) 星期三5-8节 [1-16] IT210"
CDI251001,55007801,职业规划,2,刘力丹(),刘力丹,06040,,专业选修课,中文,四平路校区,"2024(车辆工程(创新实验区) 19030),2024(工业设计 55024),2024(视觉传达设计 55034),2024(环境设计 55044),2024(产品设计 55054),2024(工业设计(车辆造型实验区) 55092),2024(视觉传达设计(人工智能双学士学位) 55094)",76,1,16,刘力丹(06040) 星期三9-10节 [1-16] 暗房
CDI230401,55008701,设计商业模式,2,Hyejin Lee(),Hyejin Lee,1801088,,专业基础课,英语,四平路校区,"2023(视觉传达设计(人工智能双学士学位) 55094),2024(工业设计(精英班) 09039),2024(工业设计 55024),2024(视觉传达设计 55034),2024(环境设计 55044),2024(产品设计 55054)",106,1,16,Hyejin Lee(1801088) 星期三3-4节 [1-16] 南101
CDI001201,55009001,中国美学史,2,邹其昌(教授),邹其昌,16041,,人文经典与审美素养,中文,四平路校区,,29,1,16,邹其昌(16041) 星期三9-10节 [1-16] 南105
CDI001301,55009101,非遗走进现代生活,2,宋善威(副教授),宋善威,97744,,人文经典与审美素养,中文,四平路校区,,30,1,16,宋善威(97744) 星期一9-10节 [1-16] 南308
CDI260203,55009503,专业实践（2）,4,宋善威(副教授),"孙大旺,宋善威","23536,97744","null,",实践环节课程,中文,四平路校区,"2024(工业设计(精英班) 09039),2024(工业设计 55024),2024(视觉传达设计 55034)",32,9,16,"孙大旺(23536),宋善威(97744) 星期一1-4节 [9-16] IT303 孙大旺(23536),宋善威(97744) 星期四5-8节 [9-16] IT303"
CDI260202,55009502,专业实践（2）,4,李咏絮(),"汪洋,李咏絮","21777503,99727","null,",实践环节课程,中文,四平路校区,"2024(工业设计 55024),2024(环境设计 55044)",22,1,16,"汪洋(21777503),李咏絮(99727) 星期四5-8节 [1-16] IT209"
CDI260201,55009501,专业实践（2）,4,樊中(),"刘胧,樊中","07061,12049",",",实践环节课程,中文,四平路校区,"2024(工业设计(精英班) 09039),2024(车辆工程(创新实验区) 19030),2024(工业设计 55024),2024(产品设计 55054),2024(工业设计(车辆造型实验区) 55092)",35,1,16,"刘胧(07061),樊中(12049) 星期四5-8节 [1-16] IT208"
CDI360203,55009703,专业实践（4）,4,陈逸云(),"郭炜炜,陈逸云","18133,20666043",",null",实践环节课程,中文,四平路校区,"2023(工业设计(精英班) 09039),2023(工业设计 55024),2023(视觉传达设计 55034),2024(视觉传达设计(二学位) 55095)",35,9,16,"郭炜炜(18133),陈逸云(20666043) 星期一5-8节 [9-16] IT302 郭炜炜(18133),陈逸云(20666043) 星期四5-8节 [9-16] IT302"
CDI360202,55009702,专业实践（4）,4,刘畅(),"姚雪艳,杨皓,刘畅","00029,00042,23030",",,",实践环节课程,中文,四平路校区,"2023(工业设计 55024),2023(环境设计 55044)",23,1,16,"姚雪艳(00029),杨皓(00042),刘畅(23030) 星期四1-4节 [1-16] IT211"
CDI360201,55009701,专业实践（4）,4,莫娇(讲师),"莫娇,刘震元,Saverio Silli,胡琳娜","06031,10145,1805004,24077",",,null,",实践环节课程,中文,四平路校区,"2023(工业设计(精英班) 09039),2023(工业设计 55024),2023(产品设计 55054)",34,1,16,"莫娇(06031),刘震元(10145),Saverio Silli(1805004),胡琳娜(24077) 星期四1-4节 [1-16] IT210"
CDI240203,55009903,专业设计（2）,4,张屹南(讲师),"张屹南,吴洁","07186,93148",",",专业必修课,中文,四平路校区,"2024(工业设计(精英班) 09039),2024(工业设计 55024),2024(视觉传达设计 55034)",32,1,8,"张屹南(07186),吴洁(93148) 星期一1-4节 [1-8] IT303 张屹南(07186),吴洁(93148) 星期四5-8节 [1-8] IT303"
CDI240202,55009902,专业设计（2）,4,李咏絮(),"汪洋,李咏絮","21777503,99727","null,",专业必修课,中文,四平路校区,"2024(工业设计 55024),2024(环境设计 55044)",22,1,16,"汪洋(21777503),李咏絮(99727) 星期一1-4节 [1-16] IT209"
