新课程序号,课程名称,课程性质,校区,排课信息
CEC121001,英语公共演讲,公共基础课,四平路校区,王欢(03106) 星期一5-7节 [1-16] 沪北校区泰禾楼606
CEC121101,生态与文化,公共基础课,四平路校区,陈静(11127) 星期三5-7节 [1-16] 沪北校区泰禾楼606
IVE000902,德国文化与教育,社会发展与国际视野,嘉定校区,鄢彩玲(21106) 星期三9-10节 [1-16] 安楼A302
IVE280701,教学设计,必修课程,四平路校区,王路炯(00020) 星期五5-6节 [1-16] 线上课堂
LIB130102,文献检索,专业基础课,四平路校区,张轶群(89861) 星期三1-4节 [1-8] 南111
LIB130101,文献检索,专业基础课,沪西校区,王爽快(24054) 星期四5-8节 [1-8] 学校机房414(沪西)
LIB000105,科技文献检索与利用,通识选修课,嘉定校区,刘玉红(07054) 星期四9-10节 [1-16] 安楼A110
LIB000104,科技文献检索与利用,通识选修课,四平路校区,朱梦皎(17076) 星期三7-8节 [1-8] 北216 李华(13060) 星期三7-8节 [9-16] 北216
LIB000103,科技文献检索与利用,通识选修课,四平路校区,邬宁芬(03061) 星期四7-8节 [1-16] 北215
LIB000102,科技文献检索与利用,通识选修课,嘉定校区,刘玉红(07054) 星期一7-8节 [1-16] 安楼A112
LIB000101,科技文献检索与利用,通识选修课,四平路校区,邬宁芬(03061) 星期一7-8节 [1-16] 北215
ISC120201,中国概况,公共基础课,四平路校区,孙宜学(98078) 星期二9-10节 [15] 南校区二教312教室 李钰倩(18056) 星期二9-10节 [11-13] 南校区二教312教室 张林华(18070) 星期二9-10节 [7-10] 南校区二教312教室 宗骞(16152) 星期二9-10节 [1-6 14-16双] 南校区二教312教室
ISC110101,中国概论（英）,通识必修课,四平路校区,程妤(08035) 星期四1-2节 [1-16] 南301
ISC150101,中国历史与文化（中外）,社会发展与国际视野,四平路校区,张占山(06101) 星期三9-10节 [1-16] 南218
ISC000101,中国社会与文化,社会发展与国际视野,四平路校区,张占山(06101) 星期四9-10节 [1-16] 南218
ISC310201,初级中文,通识必修课,四平路校区,顾春燕(1905054) 星期一9-11节 [1-16] 南216 顾春燕(1905054) 星期三9-11节 [1-16] 南216
ISC131501,初级读写(2),专业基础课,四平路校区,张占山(06101) 星期三1-2节 [1-16] 南411
ISC131502,初级读写(2),专业基础课,四平路校区,张占山(06101) 星期四1-2节 [1-16] 南415
ISC330601,高级汉语(2),专业基础课,四平路校区,潘海峰(11115) 星期三1-4节 [1-16] 南421 潘海峰(11115) 星期四3-4节 [1-16] 南421
ISC332301,高级写作(2),专业基础课,四平路校区,许歆媛(16010) 星期一1-2节 [1-16] 南校区二教213
ISC231701,中级泛读(2),专业基础课,四平路校区,凌璧君(06100) 星期三1-2节 [1-16] 南410
ISC231301,中级听和说(2),专业基础课,四平路校区,凌璧君(06100) 星期四3-4节 [1-16] 南122
ISC231901,中级写作(2),专业基础课,四平路校区,陈晨(22202) 星期四5-6节 [1-16] 南420
ISC340801,汉语词汇概述,专业选修课,四平路校区,侯文玉(03173) 星期二3-4节 [1-16] 南122
ISC210201,中国简史,通识必修课,四平路校区,孙宜学(98078) 星期四1-2节 [3-4] 南122 王琼(11116) 星期四1-2节 [1-2 5-16] 南122
ISC130901,初级会话(2),专业基础课,四平路校区,黄亚欣(22196) 星期一1-2节 [1-16] 南411
ISC130902,初级会话(2),专业基础课,四平路校区,罗顺(23090) 星期一1-2节 [1-16] 南414
ISC131101,初级听力(2),专业基础课,四平路校区,许歆媛(16010) 星期一3-4节 [1-16] 南418
ISC131102,初级听力(2),专业基础课,四平路校区,姚伟嘉(16065) 星期一3-4节 [1-16] 南409
ISC351101,教育心理学概论,专业选修课,四平路校区,凌璧君(06100) 星期四1-2节 [1-16] 南校区二教213
ISC210301,《中国文化》,通识必修课,四平路校区,陈晨(22202) 星期三7-8节 [1-16] 南414
ISC350901,中国现当代文学（汉语言）,专业选修课,四平路校区,王琼(11116) 星期一3-4节 [1-16] 南校区二教213
ISC341001,语言与文化（汉语言）,专业必修课,四平路校区,李挺(13010) 星期一7-8节 [1-16] 北108
ISC160101,普通话语音训练,实践环节课程,四平路校区,许歆媛(16010) 星期三5-6节 [1-16] 南220
ISC460701,毕业论文（汉语言）,实践环节课程,四平路校区,李海燕(11113) 星期六1-2节 [1-16] 南校区二教213
ISC120402,专业汉语（下）,公共基础课,四平路校区,李海燕(11113) 星期三3-6节 [1-16] 南校区二教312教室 李海燕(11113) 星期四5-6节 [1-16] 南校区二教312教室
ISC120401,专业汉语（下）,通识必修课,四平路校区,郑婕(11111) 星期三1-2节 [1-16] 北313 赵莹(13008) 星期四7-10节 [1-16] 北313
ISC332101,商务写作（2）,专业基础课,四平路校区,凌璧君(06100) 星期三5-6节 [1-16] 北319
ISC460501,表达训练,实践环节课程,四平路校区,李挺(13010) 星期三5-6节 [1-16] 南310
ISC350501,跨文化交际案例分析,专业选修课,四平路校区,侯文玉(03173) 星期二1-2节 [1-16] 南122
ISC460401,国际学生职业素养,实践环节课程,四平路校区,许歆媛(16010) 星期三3-4节 [1-16] 南307
ISC340301,经贸口语（2）,专业必修课,四平路校区,侯文玉(03173) 星期一3-4节 [1-16] 南115
ISC130201,初级汉语（2）,专业基础课,四平路校区,李挺(13010) 星期一5-6节 [1-16] 南411 李挺(13010) 星期二1-4节 [1-16] 南411 李挺(13010) 星期三3-4节 [1-16] 南411
ISC130202,初级汉语（2）,专业基础课,四平路校区,王琼(11116) 星期一5-6节 [1-16] 南416 王琼(11116) 星期二1-4节 [1-16] 南416 王琼(11116) 星期三3-4节 [1-16] 南416
ISC230401,中级汉语（2）,专业基础课,四平路校区,夏雪飞(11117) 星期一3-4节 [1-16] 南414 夏雪飞(11117) 星期二3-4节 [1-16] 南414 夏雪飞(11117) 星期三3-6节 [1-16] 南414
ISC260201,HSK应试辅导,实践环节课程,四平路校区,侯文玉(03173) 星期一5-7节 [1-16] 北222
ISC120101,人工智能科学与技术（人文科学类）,公共基础课,四平路校区,梁毅军(93128) 星期四3-4节 [6 16] 南211 姚伟嘉(16065) 星期四3-4节 [1-5 7-15] 南211
TWC000101,形体训练,人文经典与审美素养,四平路校区,别蓁蓁(01095) 星期三9-10节 [1-16] 南校区三教209
,人力资源管理与女性职业生涯规划,社会发展与国际视野,四平路校区,彭贤杰(02109) 星期三7-8节 [1-16] 北207
TWC000301,自我认知与人际沟通,社会发展与国际视野,四平路校区,樊秀娣(86068) 星期三7-8节 [1-16] 北209
,古琴入门,人文经典与审美素养,四平路校区,倪羽朦(1700509) 星期一7-8节 [2-16] 艺术传媒学院322教室 倪诗韵(1700508) 星期一7-8节 [1] 艺术传媒学院322教室
TWC000401,卓越女性成长,社会发展与国际视野,四平路校区,于一凡(96016) 星期四7-8节 [10-12] 北216 李岩(03104) 星期四7-8节 [15-16] 北216 颜琼枝(2000512) 星期四7-8节 [7-8] 北216 徐红(92156) 星期四7-8节 [2 5] 北216 何敏娟(88055) 星期四7-8节 [4 14] 北216 肖辉(92193) 星期四7-8节 [6 13] 北216 马锦明(95013) 星期四7-8节 [1-3单 9] 北216
TWC000501,国乐艺术赏析——古筝演奏中级,人文经典与审美素养,四平路校区,陈珏(03121) 星期一7-8节 [1-16] 南校区三教206
CDH340201,企业经济学与质量管理,专业必修课,嘉定校区,王继平(93161) 星期二3-4节 [1-16] 广楼G109
CDH130203,德语（二）,专业基础课,四平路校区,黎东方(97029) 星期一5-8节 [1-16] 南114 黎东方(97029) 星期四5-10节 [1-16] 南114 黎东方(97029) 星期五5-8节 [1-16] 南114
CDH130202,德语（二）,专业基础课,四平路校区,RABENECK SOREN(2300081) 星期一5-8节 [1-16] 北316 RABENECK SOREN(2300081) 星期四5-10节 [1-16] 北316 RABENECK SOREN(2300081) 星期五5-8节 [1-16] 北316
CDH130201,德语（二）,专业基础课,四平路校区,俞宙明(01063) 星期一5-8节 [1-16] 南117 曾移红(12666035) 星期四5-10节 [1-16] 南117 曾移红(12666035) 星期五5-8节 [1-16] 南117
CDH130206,德语（二）,专业基础课,四平路校区,葛彦之(00079) 星期一5-8节 [1-16] 北322 葛彦之(00079) 星期四5-10节 [1-16] 北322 葛彦之(00079) 星期五5-8节 [1-16] 北322
CDH130205,德语（二）,专业基础课,四平路校区,徐琴(96023) 星期一5-8节 [1-16] 北307 徐琴(96023) 星期四5-10节 [1-16] 北307 徐琴(96023) 星期五5-8节 [1-16] 北307
CDH130204,德语（二）,专业基础课,四平路校区,黄鹂(13666077) 星期一5-8节 [1-16] 北320 黄鹂(13666077) 星期四5-10节 [1-16] 北320 黄鹂(13666077) 星期五5-8节 [1-16] 北320
CDH354301,新能源技术,专业必修课,嘉定校区,Martin Thomas Renner(1801055) 星期一3-6节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期三5-8节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期五3-6节 [2-3] 诚楼C410B Martin Thomas Renner(1801055) 星期六3-6节 [2-3] 诚楼C410B
CDH354801,能源互联网与智能电网,专业必修课,嘉定校区,苏灵奇(24154) 星期三1-2节 [7-16] 安楼A402 张永明(14152) 星期三1-2节 [1-6] 安楼A402
CDH231601,建筑CAD与BIM技术,专业基础课,嘉定校区,苏灵奇(24154) 星期四7-8节 [10-16双] 济事楼126 史洁(10067) 星期四7-8节 [2-8双] 济事楼126
CDH341501,建筑电气工程,专业必修课,嘉定校区,张永明(14152) 星期三3-4节 [1-13单] 诚楼C408A 肖辉(92193) 星期三3-4节 [15] 诚楼C408A 肖辉(92193) 星期四3-4节 [15] 诚楼C408A 张永明(14152) 星期四3-4节 [1-14 16] 诚楼C408A
CDH231701,房屋建筑与工程学,专业基础课,嘉定校区,苏灵奇(24154) 星期四9-11节 [9-16] 安楼A402 史洁(10067) 星期四9-11节 [1-8] 安楼A402
CDH360201,机电系统设计开发,实践环节课程,嘉定校区,"王玉(05022),谢楠(09060) 星期五1-6节 [3-12 15-16] 专业实验室 Knut Meißner(2300096) 星期五1-6节 [1-2] 专业实验室 Bernhard Zimmermann(1801051) 星期五1-6节 [13-14] 专业实验室"
CDH230504,德语（五）,专业基础课,嘉定校区,庄亦男(11666077) 星期二1-4节 [1-16] 安楼A302 庄亦男(11666077) 星期五1-6节 [1-16] 安楼A302
CDH230503,德语（五）,专业基础课,嘉定校区,朱金锋(15666037) 星期二1-4节 [1-16] 安楼A409 朱金锋(15666037) 星期五1-6节 [1-16] 安楼A409
CDH230502,德语（五）,专业基础课,嘉定校区,刘静(02168) 星期二1-4节 [1-16] 安楼A407 刘静(02168) 星期五1-6节 [1-16] 安楼A407
CDH230501,德语（五）,专业基础课,嘉定校区,张剑平(08072) 星期二1-4节 [1-16] 安楼A405 张剑平(08072) 星期五1-6节 [1-16] 安楼A405
,项目管理与实践（2）,实践环节课程,嘉定校区,UlrichRudolph(1501021) 星期一5-8节 [11] 济事楼214 尤筱玥(19069) 星期一5-8节 [14-16] 济事楼214 MalteBeinhauer(1501023) 星期一5-8节 [12-13] 济事楼214 UlrichRudolph(1501021) 星期三5-8节 [11] 济事楼214 尤筱玥(19069) 星期三5-8节 [14-16] 济事楼214 MalteBeinhauer(1501023) 星期三5-8节 [12-13] 济事楼214 UlrichRudolph(1501021) 星期四9-11节 [11] 济事楼214 尤筱玥(19069) 星期四9-11节 [14-16] 济事楼214 MalteBeinhauer(1501023) 星期四9-11节 [12-13] 济事楼214 UlrichRudolph(1501021) 星期五1-5节 [11] 济事楼214 尤筱玥(19069) 星期五1-5节 [14-16] 济事楼214 MalteBeinhauer(1501023) 星期五1-5节 [12-13] 济事楼214
CDH230301,制造技术基础,专业基础课,嘉定校区,Frank Pöhlau(2400912) 星期三5-8节 [13-14] 复楼F204 Carolin Radscheit(1805011) 星期三5-8节 [11-12] 复楼F204 Frank Pöhlau(2400912) 星期四5-8节 [13-14] 复楼F204 Carolin Radscheit(1805011) 星期四5-8节 [11-12] 复楼F204 Carolin Radscheit(1805011) 星期五7-10节 [11-12] 复楼F204 Frank Pöhlau(2400912) 星期五7-10节 [13-14] 复楼F204 Frank Pöhlau(2400912) 星期六1-4节 [13-14] 复楼F204 Carolin Radscheit(1805011) 星期六1-4节 [11-12] 复楼F204
CDH230302,制造技术基础,专业基础课,嘉定校区,"谢春(01053),刘晋飞(14165) 星期一9-10节 [1-16] 安楼A202 谢春(01053),刘晋飞(14165) 星期五7-8节 [1-16] 安楼A202"
CDH351401,控制技术,专业选修课,嘉定校区,wiedmann.Hans(12858) 星期一5-8节 [3-6] 博楼B106 wiedmann.Hans(12858) 星期三5-8节 [3-6] 博楼B106 wiedmann.Hans(12858) 星期五7-10节 [3-6] 博楼B106 wiedmann.Hans(12858) 星期六1-4节 [3-6] 博楼B106
CDH354401,燃烧与供暖技术,专业必修课,嘉定校区,Stefan Zundel(1801054) 星期一3-6节 [11-12] 诚楼C410B Robert Franz Grob(2400909) 星期一3-6节 [13-14] 诚楼C410B Stefan Zundel(1801054) 星期三5-8节 [11-12] 诚楼C410B Robert Franz Grob(2400909) 星期三5-8节 [13-14] 诚楼C410B Stefan Zundel(1801054) 星期五3-6节 [11-12] 诚楼C410B Robert Franz Grob(2400909) 星期五3-6节 [13-14] 诚楼C410B Robert Franz Grob(2400909) 星期六3-6节 [13-14] 诚楼C410B Stefan Zundel(1801054) 星期六3-6节 [11-12] 诚楼C410B
CDH354501,能源经济学与能源技术、可再生能源,专业必修课,嘉定校区,"Timm Heinzel(1805259) 星期一3-4节 [6-7] 诚楼C410B ChristianSchweigler(1400397) 星期一3-4节 [8-9] 诚楼C410B ChristianSchweigler(1400397),Timm Heinzel(1805259) 星期一5-6节 [6-9] 诚楼C410B ChristianSchweigler(1400397),Timm Heinzel(1805259) 星期三5-8节 [6-9] 诚楼C410B ChristianSchweigler(1400397),Timm Heinzel(1805259) 星期五3-6节 [6-9] 诚楼C410B ChristianSchweigler(1400397),Timm Heinzel(1805259) 星期六3-6节 [6-9] 诚楼C410B"
CDH341401,自动控制技术,专业必修课,嘉定校区,苏灵奇(24154) 星期二3-4节 [1-16] 诚楼C408A 苏灵奇(24154) 星期三3-4节 [2-16双] 诚楼C408A
CDH251801,经济学,专业基础课,嘉定校区,周春燕(02151) 星期一1-2节 [1-16] 诚楼C411 周春燕(02151) 星期三1-2节 [1-16] 诚楼C411
CDH351901,生产与物流,专业基础课,嘉定校区,周春燕(02151) 星期一3-4节 [1-16] 博楼B402 周春燕(02151) 星期四7-8节 [1-16] 博楼B402
CDH230101,自动控制原理(1),专业基础课,嘉定校区,郭为安(14015) 星期一7-8节 [9-16] 广楼G207 靳文瑞(09062) 星期一7-8节 [1-8] 广楼G207 靳文瑞(09062) 星期四3-4节 [1-8] 广楼G207 郭为安(14015) 星期四3-4节 [9-16] 广楼G207
CDH231501,热工原理,专业基础课,嘉定校区,庄智(11130) 星期一1-2节 [1-16] 诚楼C408A 庄智(11130) 星期三1-2节 [1-16] 诚楼C408A
CDH351501,微处理器技术,专业选修课,嘉定校区,陆贝尔(24056) 星期二9-11节 [1-16] 济事楼217
,系统建模与仿真,专业必修课,嘉定校区,王玉(05022) 星期一1-2节 [1-16] 济事楼126 王玉(05022) 星期二1-2节 [1-16] 济事楼126
CDH354701,建筑电气设备,专业必修课,嘉定校区,张永明(14152) 星期二1-2节 [1-16] 安楼A402 张永明(14152) 星期四5-6节 [2-16双] 安楼A402
CDH354601,通风与空气调节技术,专业必修课,嘉定校区,范蕊(06096) 星期四5-6节 [1-15单] 诚楼C408A 范蕊(06096) 星期五1-2节 [1-16] 诚楼C408A
CDH231301,自动控制原理,专业基础课,嘉定校区,李东洋(24134) 星期一1-2节 [1-16] 安楼A302 李东洋(24134) 星期三1-2节 [1-16] 安楼A302
CDH340701,汽车理论,专业必修课,嘉定校区,张涛(08019) 星期二1-2节 [1-16] 博楼B402 张涛(08019) 星期四3-4节 [1-16] 博楼B402
CDH352601,汽车电气与电子系统,专业必修课,嘉定校区,BoYuan(1400395) 星期一5-9节 [2-3 7-8] 诚楼C411 BoYuan(1400395) 星期三5-9节 [2-3 7-8] 诚楼C411 BoYuan(1400395) 星期六1-6节 [2-3 7-8] 诚楼C411
CDH330601,工程热力学,专业必修课,嘉定校区,庄智(11130) 星期三3-4节 [1-16] 安楼A208
,新能源汽车与智能网联技术,专业选修课,嘉定校区,靳文瑞(09062) 星期三1-2节 [1-16] 博楼B302
CDH460404,毕业设计,实践环节课程,嘉定校区,郭为安(14015) 星期一9-10节 [1-16] 企业实习
CDH460403,毕业设计,实践环节课程,嘉定校区,张永明(14152) 星期一9-10节 [1-16] 企业实习
CDH460402,毕业设计,实践环节课程,嘉定校区,周春燕(02151) 星期一9-10节 [1-16] 企业实习
CDH460401,毕业设计,实践环节课程,嘉定校区,谢楠(09060) 星期四9-10节 [1-16] 企业论文
CDH241201,网络与通讯系统,专业基础课,嘉定校区,谢楠(09060) 星期一5-6节 [1-16] 诚楼C409
CDH330501,计算方法及其在工程中应用,专业基础课,嘉定校区,周娜(23132) 星期四1-2节 [1-16] 博楼B106
CDH352201,企业运营管理,专业选修课,嘉定校区,Peggy Näser(1805013) 星期一5-8节 [9-10] 济事楼214 TobiasSpecker(1400430) 星期一5-8节 [7-8] 济事楼214 Peggy Näser(1805013) 星期三5-8节 [9-10] 济事楼214 TobiasSpecker(1400430) 星期三5-8节 [7-8] 济事楼214 Peggy Näser(1805013) 星期四9-11节 [9-10] 济事楼214 TobiasSpecker(1400430) 星期四9-11节 [7-8] 济事楼214 Peggy Näser(1805013) 星期五1-5节 [9-10] 济事楼214 TobiasSpecker(1400430) 星期五1-5节 [7-8] 济事楼214
CDH352301,市场与采购,专业选修课,嘉定校区,冯英华(05156) 星期二3-4节 [1-16] 诚楼C412
,财务管理与投融资,专业选修课,嘉定校区,Kai Nobach(1600182) 星期一5-8节 [5-6] 济事楼214 BerndZirkler(1400394) 星期一5-8节 [3-4] 济事楼214 BerndZirkler(1400394) 星期三5-8节 [3-4] 济事楼214 Kai Nobach(1600182) 星期三5-8节 [5-6] 济事楼214 BerndZirkler(1400394) 星期四9-11节 [3-4] 济事楼214 Kai Nobach(1600182) 星期四9-11节 [5-6] 济事楼214 BerndZirkler(1400394) 星期五1-5节 [3-4] 济事楼214 Kai Nobach(1600182) 星期五1-5节 [5-6] 济事楼214
CDH352501,汽车动力系统,专业必修课,嘉定校区,BoYuan(1400395) 星期一5-9节 [11-12 14-15] 广楼G108 BoYuan(1400395) 星期三5-9节 [11-12 14-15] 广楼G108 BoYuan(1400395) 星期六1-6节 [11-12 14-15] 广楼G108
CDH451701,工业实习与劳动实践,实践环节课程,嘉定校区,谢楠(09060) 星期三9-10节 [1-16] 企业实习
CDH451704,工业实习与劳动实践,实践环节课程,嘉定校区,郭为安(14015) 星期三9-10节 [1-16] 企业实习
CDH451703,工业实习与劳动实践,实践环节课程,嘉定校区,张永明(14152) 星期三9-10节 [1-16] 企业实习
CDH451702,工业实习与劳动实践,实践环节课程,嘉定校区,周春燕(02151) 星期三9-10节 [1-16] 博楼B410
CDH360601,项目开发与管理,实践环节课程,嘉定校区,"顾剑峰(02090),靳文瑞(09062),郭为安(14015),孟庆雨(89518) 星期五1-6节 [1-16] 专业实验室"
,汽车服务工程与诊断技术（I）,专业必修课,嘉定校区,孟庆雨(89518) 星期一3-4节 [1-16] 诚楼C409 孟庆雨(89518) 星期三3-4节 [1-16] 诚楼C409
CAU340101,城市绿地规划设计原理,专业必修课,四平路校区,沈洁(15011) 星期四3-4节 [1 5-7单 8-16] 南205 刘颂(94096) 星期四3-4节 [2-4 6] 南205
CAU230101,园林植物与应用,专业基础课,四平路校区,张德顺(09024) 星期三1-2节 [1-9] 南209 陈静(11127) 星期三1-2节 [14-16] 南209 云嘉燕(23078) 星期三1-2节 [10-13] 南209
CAU240101,历史建筑保护概论,专业选修课,四平路校区,陆地(02081) 星期二3-4节 [1-16] 文106
CAU000101,中国传统绘画工笔技法,人文经典与审美素养,四平路校区,胡炜(98723) 星期三9-10节 [1-16] 城规学院D3报告厅
CAU000601,篆刻艺术,人文经典与审美素养,四平路校区,刘辉(93428) 星期三5-7节 [1-16] 城规B楼410、412
CAU560102,毕业设计(含实习),实践环节,四平路校区,"赵蔚(05125),栾峰(05133),朱玮(10112),杨辰(13084),程遥(15156),陈晨(15166),颜文涛(17022),沈尧(18093),刘骝(21013),黄璜(21025),唐伟成(21161),刘伯初(23135),张泽(23175),杨贵庆(91045),于一凡(96016),卓健(96030),王德(98033),耿慧志(99025) 星期二1-4节 [1-16] 学院教室E302\304\306\201\203\303\305\307\309 赵蔚(05125),栾峰(05133),朱玮(10112),杨辰(13084),程遥(15156),陈晨(15166),颜文涛(17022),沈尧(18093),刘骝(21013),黄璜(21025),唐伟成(21161),刘伯初(23135),张泽(23175),杨贵庆(91045),于一凡(96016),卓健(96030),王德(98033),耿慧志(99025) 星期五1-4节 [1-16] 学院教室E302\304\306\201\203\303\305\307\309"
CAU230201,建筑设计原理,专业基础课,四平路校区,张雪伟(07074) 星期一7-8节 [9-16] 学院专教-钟庭报告厅 戚广平(96032) 星期一7-8节 [1-8] 学院专教-钟庭报告厅
CAU250101,计算机图形学,专业必修课,四平路校区,王祥(21022) 星期四3-4节 [1-16] 文106
CAU350201,景观社会学,专业选修课,四平路校区,董楠楠(06119) 星期日9-10节 [1-16] 不排教室
CAU460101,毕业设计,实践环节课程,四平路校区,"张琳(04121),王敏(05223),刘悦来(05224),董楠楠(06119),陈静(11127),汪洁琼(13123),陈筝(13156),寇怀云(13509),彭婉婷(22227),申佳可(24069),李宾(24100),王方邑(24195),李璟昱(25024),刘熬立(92187),周向频(97010) 星期六5-8节 [1-16] 学院教室D301\D303\B303\B305 张琳(04121),王敏(05223),刘悦来(05224),董楠楠(06119),陈静(11127),汪洁琼(13123),陈筝(13156),寇怀云(13509),彭婉婷(22227),申佳可(24069),李宾(24100),王方邑(24195),李璟昱(25024),刘熬立(92187),周向频(97010) 星期日1-4节 [1-16] 学院教室D301\D303\B303\B305"
CAU250401,数字化设计前沿,专业选修课,四平路校区,闫超(21152) 星期四9-10节 [1-16] 北229
,毕业设计(四年制本科),实践环节课程,四平路校区,"蔡永洁(00093),林怡(01018),宗轩(01023),颜隽(02045),王一(02078),陈泳(03026),孙澄宇(05027),陈强(05173),钱锋(06027),王桢栋(08037),姚栋(08040),扈龑喆(10043),李华(11126),董屹(11128),司马蕾(13154),崔哲(14043),谭峥(15030),姚佳伟(18536),张灵珠(20012),余中奇(21018),王祥(21022),汪妍泽(22142),朱怡晨(23071),刘一歌(23194),陈易(91023),左琰(91129),庄宇(93048),徐磊青(95016),戚广平(96032) 星期六1-8节 [1-16] 学院专教E205、E207、E209、E211、E213、E215、E202、E204、E206"
,毕业设计(五年制本科),实践环节,四平路校区,"蔡永洁(00093),林怡(01018),宗轩(01023),颜隽(02045),王一(02078),陈泳(03026),孙澄宇(05027),陈强(05173),钱锋(06027),王桢栋(08037),姚栋(08040),扈龑喆(10043),李华(11126),董屹(11128),司马蕾(13154),崔哲(14043),谭峥(15030),姚佳伟(18536),张灵珠(20012),余中奇(21018),王祥(21022),汪妍泽(22142),朱怡晨(23071),刘一歌(23194),陈易(91023),左琰(91129),庄宇(93048),徐磊青(95016),戚广平(96032) 星期日1-8节 [1-16] 学院专教E205、E207、E209、E211、E213、E215、E202、E204、E206"
CAU340401,城乡规划原理（B）,专业必修课,四平路校区,陆希刚(95503) 星期三5-6节 [3-6] 北105 程遥(15156) 星期三5-6节 [7-11] 北105 晏龙旭(21024) 星期三5-6节 [12-16] 北105 张尚武(98062) 星期三5-6节 [1-2] 北105
CAU340501,城乡规划原理（C）,专业必修课,四平路校区,栾峰(05133) 星期一7-8节 [1-2 6 11-12 14-16] 南312 高晓昱(93176) 星期一7-8节 [7-10] 南312 陆希刚(95503) 星期一7-8节 [3-5] 南312 肖建莉(08010) 星期一7-8节 [13] 南312
CAU440201,城市工程系统与综合防灾（2）,专业必修课,四平路校区,高晓昱(93176) 星期一3-4节 [2-16双] 北207 赫磊(16516) 星期一3-4节 [1-15单] 北207
CAU340701,城市环境与城市生态学,专业必修课,四平路校区,"干靓(05065) 星期三3-4节 [7-11 14] 北105 干靓(05065),颜文涛(17022) 星期三3-4节 [12 16] 北105 颜文涛(17022) 星期三3-4节 [1-6 13-15单] 北105"
CAU340801,区域发展与规划,专业选修课,四平路校区,唐伟成(21161) 星期四7-8节 [6-9 12-16] 南208 彭震伟(89045) 星期四7-8节 [1-5 10-11] 南208
CAU440401,城市历史遗产保护,专业特色模块,四平路校区,侯丽(97038) 星期六9-10节 [1-16] 不排教室
CAU250502,旅游策划原理与方法,专业选修课,四平路校区,张琳(04121) 星期四9-10节 [1-16] 南210
CAU350501,城市综合体建筑设计原理,专业选修课,四平路校区,扈龑喆(10043) 星期四3-4节 [1-16] 学院专教-钟庭报告厅
CAU341001,建筑法规与职业教育,专业必修课,四平路校区,徐洪涛(00762) 星期三7-8节 [1-16] 文106
CAU350601,当代艺术评论,专业选修课,四平路校区,于幸泽(13191) 星期日7-8节 [1-16] 不安排教室
CAU330301,城乡规划原理,专业基础课,四平路校区,田宝江(98055) 星期三9-10节 [14-16] 衷和楼205 陆希刚(95503) 星期三9-10节 [3-6 9] 衷和楼205 程遥(15156) 星期三9-10节 [7-8] 衷和楼205 李晴(95501) 星期三9-10节 [10-13] 衷和楼205 张尚武(98062) 星期三9-10节 [1-2] 衷和楼205
CAU230301,城乡规划导论,专业基础课,四平路校区,耿慧志(99025) 星期三1-2节 [7] 北105 于一凡(96016) 星期三1-2节 [8] 北105 颜文涛(17022) 星期三1-2节 [2] 北105 王雅娟(99100) 星期三1-2节 [10] 北105 肖扬(13147) 星期三1-2节 [6] 北105 刁弥(20135) 星期三1-2节 [11 16] 北105 彭震伟(89045) 星期三1-2节 [1] 北105 卓健(96030) 星期三1-2节 [12] 北105 邵甬(05001) 星期三1-2节 [9] 北105 高晓昱(93176) 星期三1-2节 [13] 北105 张尚武(98062) 星期三1-2节 [5] 北105 栾峰(05133) 星期三1-2节 [4] 北105 杨贵庆(91045) 星期三1-2节 [3] 北105 匡晓明(94053) 星期三1-2节 [15] 北105 王德(98033) 星期三1-2节 [14] 北105
CAU001001,三维快速成型技术及应用,工程能力与创新思维,四平路校区,臧伟(91664) 星期四7-8节 [1-16] 文401
CAU001101,城乡发展与规划概论,社会发展与国际视野,四平路校区,张立(10080) 星期三7-8节 [1-16] 北309
CAU120101,建筑概论,专业基础课,四平路校区,田唯佳(14167) 星期一1-2节 [7-11] 学院专教C203 陈洁(22211) 星期一1-2节 [1-6] 学院专教C203 岑伟(04043) 星期一1-2节 [12-16] 学院专教C203
CAU240301,建筑史,专业基础课,四平路校区,李颖春(14150) 星期四3-4节 [9-16] 北208 周鸣浩(11162) 星期四3-4节 [1-8] 北208
CAU460301,毕业设计,实践环节课程,四平路校区,"江嘉玮(21157),李佩娴(23023) 星期六1-8节 [1-16] 学院专教D513 江嘉玮(21157),李佩娴(23023) 星期日1-8节 [1-16] 学院专教D513"
CAU001301,中西艺术比较(双语),社会发展与国际视野,四平路校区,胡炜(98723) 星期一9-10节 [1-16] 北410
CAU250701,风景园林文化与空间,专业选修课,四平路校区,胡玎(99038) 星期四1-2节 [1-16] 文106
CAU250801,景观空间认知与表达,专业选修课,四平路校区,王敏(05223) 星期一7-8节 [1-16] 南209
CAU130101,计算机辅助设计(上),公共基础课,四平路校区,孙澄宇(05027) 星期四5-6节 [1-16] 城规D楼2楼大机房
CAU001601,素描与写生,人文经典与审美素养,四平路校区,徐油画(93502) 星期一5-7节 [1-16] 城规学院B楼四楼美术教室
CAU001801,虚拟体验与自主学习,科学探索与生命关怀,四平路校区,赵铭超(14111) 星期四7-8节 [1-16] 北309
