新课程序号,课程名称,课程性质,校区,排课信息
CEA353902,飞行原理与系统,专业选修课,四平路校区,刘天一(18602) 星期日7-8节 [1-16] 不排教室
CEA353901,飞行原理与系统,专业选修课,嘉定校区,刘天一(18602) 星期四9-10节 [1-16] 博楼B106
CEA250202,复变函数,公共基础课,四平路校区,宋自根(21115) 星期一9-10节 [1-16] 南405
CEA250201,复变函数,专业选修课,嘉定校区,周跃亭(13159) 星期三7-8节 [1-16] 博楼B115
CEA150201,*科研训练（一）(创新项目)（下）,个性化课程,四平路校区,章中森(24064) 星期三5-6节 [1-8] 南209
CEA250403,*科研实践（二）(学科竞赛)（下）,个性化课程,嘉定校区,仲俊杰(21131) 星期一3-4节 [2-16双] 博楼B203
CEA250402,*科研实践（二）(学科竞赛)（下）,个性化课程,四平路校区,仲俊杰(21131) 星期四5-6节 [2-16双] 南411
CEA360701,科研实践（三）(交叉学科平台课题)（下）,实践环节课程,嘉定校区,王华宁(03169) 星期三5-6节 [1-16] 诚楼C404
,材料力学（下）,专业基础课,四平路校区,赵莹(19531) 星期一5-6节 [1-16] 南405 赵莹(19531) 星期四7-8节 [1-16] 南405
CEA354101,SIMULINK仿真,专业选修课,嘉定校区,刘天一(18602) 星期四1-2节 [1-15单] 安楼A114
CEA360801,复合材料结构实验,实践环节课程,嘉定校区,仲俊杰(21131) 星期一7-8节 [1-15单] 博楼B203
CEA340901,学科前沿系列讲座,专业必修课,嘉定校区,张淑杰(04234) 星期四5-6节 [2-16双] 安楼A108
CEA231003,工程力学I,专业基础课,四平路校区,吴艾辉(07212) 星期一7-8节 [1-16] 南308 吴艾辉(07212) 星期四9-11节 [1-16] 南308
CEA231002,工程力学I,专业基础课,四平路校区,王本劲(20011) 星期一7-8节 [1-16] 南310 王本劲(20011) 星期四9-11节 [1-16] 南310
CEA231001,工程力学I,专业基础课,四平路校区,付昆昆(18505) 星期一7-8节 [1-16] 南305 付昆昆(18505) 星期四9-11节 [1-16] 南305
,力学总论,专业必修课,嘉定校区,毛歅博(22206) 星期三7-8节 [3-4] 诚楼C412 宋自根(21115) 星期三7-8节 [15-16] 诚楼C412 陈硕(07191) 星期三7-8节 [1-2] 诚楼C412 张舒(15019) 星期三7-8节 [12-14] 诚楼C412 王莉华(10022) 星期三7-8节 [5-8] 诚楼C412 孙秀婷(19004) 星期三7-8节 [9-11] 诚楼C412 陈硕(07191) 星期四9-10节 [1-2] 诚楼C412 王莉华(10022) 星期四9-10节 [5-8] 诚楼C412 聂国华(93045) 星期四9-10节 [9-16] 诚楼C412 毛歅博(22206) 星期四9-10节 [3-4] 诚楼C412
CEA001601,航空与航天,工程能力与创新思维,四平路校区,"艾剑良(2400163),简晓彬(24072) 星期五3-4节 [1-16] 复旦大学邯郸校区H3209【9:55～11:35，第一周自2026年3月2日始】"
CEA240201,弹性力学A,专业必修课,嘉定校区,宋飞(23521) 星期三3-4节 [1-15] 安楼A202 王华宁(03169) 星期三3-4节 [16] 安楼A202 王华宁(03169) 星期四1-2节 [16] 安楼A202 宋飞(23521) 星期四1-2节 [1-15] 安楼A202
CEA140201,工程力学前沿导论,专业基础课,四平路校区,杨帆(14039) 星期四5-6节 [1-16] 南210
CAM240201,广告学概论,专业必修课,嘉定校区,张艳(20120) 星期五5-6节 [11-16] 博楼B103 蔡涛(02041) 星期五5-6节 [6-10] 博楼B103 汪靖(03110) 星期五5-6节 [1-5] 博楼B103
CAM250101,广告文案,专业选修课,嘉定校区,Liwen Zhang(24113) 星期四5-6节 [1-16] 安楼A110
CAM132203,视听语言,专业基础课,嘉定校区,贾恺(03108) 星期六10-11节 [1-16] 不排教室
CAM132201,视听语言,专业基础课,四平路校区,贾恺(03108) 星期三5-8节 [1-15单] 南320
CAM132202,视听语言,专业选修课,四平路校区,梅楠(17049) 星期五1-2节 [1-16] 三教601
CAM350101,专业英语,专业选修课,嘉定校区,孟筱筱(23007) 星期三3-4节 [1-16] 博楼B312
CAM252102,录音技术,专业选修课,嘉定校区,卞清(07139) 星期五9-10节 [1-8] 惟新馆录音棚 李叶秀(23070) 星期五9-10节 [9-16] 惟新馆录音棚
CAM252101,录音技术,专业选修课,嘉定校区,卞清(07139) 星期五7-8节 [1-16] 惟新馆录音棚
CAM242101,媒介经营与管理,专业选修课,嘉定校区,梅明丽(08101) 星期三5-6节 [1-16] 博楼B117
CAM254101,图形创意,专业选修课,嘉定校区,鲁普及(05153) 星期一5-6节 [1-16] 博楼B406
CAM250302,公共关系学,专业特色模块,四平路校区,梅明丽(08101) 星期四7-8节 [1-16] 南317
CAM250301,公共关系学,专业选修课,嘉定校区,梅明丽(08101) 星期六7-8节 [1-16] 不排教室
CAM000202,创新思维,工程能力与创新思维,嘉定校区,赵勇智(04019) 星期三9-10节 [1-16] 博楼B206
CAM000201,创新思维,工程能力与创新思维,四平路校区,赵勇智(04019) 星期四9-10节 [1-16] 南205
CAM132301,影片分析,专业基础课,四平路校区,贾恺(03108) 星期三5-8节 [2-16双] 南320
CAM250401,品牌管理,专业选修课,嘉定校区,汪靖(03110) 星期五3-4节 [1-16] 博楼B211
CAM154201,动画表演,专业选修课,嘉定校区,于智毅(13124) 星期六5-6节 [1-16] 不排教室
CAM154202,动画表演,专业选修课,四平路校区,于智毅(13124) 星期三3-4节 [1-16] 三教516
CAM242201,电视节目策划与制作,专业必修课,嘉定校区,王冬冬(10038) 星期五5-8节 [1-16] 惟新馆B26
CAM252201,纪录片基础,专业选修课,嘉定校区,黎小锋(07076) 星期五1-4节 [1-15单] 诚楼C402
CAM354101,二维动画创作,专业选修课,嘉定校区,赵文梁(07197) 星期一1-4节 [1-16] 惟新馆110
CAM001001,管乐合奏,人文经典与审美素养,四平路校区,卡得丽娅·库尔班(20165) 星期日9-10节 [1-16] 三联剧场-排练厅
CAM232202,中外电影史,专业基础课,嘉定校区,梅楠(17049) 星期四7-8节 [1-16] 博楼B103
CAM232201,中外电影史,专业选修课,嘉定校区,梅楠(17049) 星期四5-6节 [1-16] 安楼A216
CAM242301,影视特效,专业必修课,嘉定校区,方红峰(08102) 星期一1-2节 [1-16] 惟新馆106
CAM252501,影视导演基础,专业选修课,嘉定校区,赵起(08129) 星期三5-8节 [1-16] 惟新馆B26
CAM244201,影视特效1,专业必修课,嘉定校区,刘芸(20083) 星期四5-6节 [1-16] 惟新馆110
CAM254201,三维动画2,专业选修课,嘉定校区,廖莎莎(07198) 星期五1-4节 [1-12 16] 惟新馆110 金云水(13141) 星期五1-4节 [13-15] 惟新馆110
CAM336101,电影音乐,专业基础课,四平路校区,邱晓柳(1400045) 星期五3-4节 [1-16] 三教516
CAM252701,类型电影研究,专业选修课,嘉定校区,庄沐杨(24013) 星期一5-6节 [1-16] 安楼A109
CAM356101,文化事业管理,专业选修课,四平路校区,赵龙轩(24034) 星期三3-4节 [9-16] 三教602 Liwen Zhang(24113) 星期三3-4节 [1-8] 三教602
CAM352401,电影大师研究,专业选修课,嘉定校区,庄沐杨(24013) 星期六7-8节 [1-16] 不排教室
CAM146202,台词2,专业必修课,四平路校区,于智毅(13124) 星期一1-4节 [1-16] 三教516
CAM146201,台词2,专业必修课,四平路校区,饶丹云(08107) 星期一1-4节 [1-16] 三教521
CAM246202,台词4,专业必修课,四平路校区,于智毅(13124) 星期一5-8节 [1-16] 三教516
CAM246201,台词4,专业必修课,四平路校区,饶丹云(08107) 星期一5-8节 [1-16] 三教521
CAM467601,毕业论文,实践环节课程,四平路校区,"张弛(01111),房慧(05226),齐欢(08001),秦川(08093),王夕岚(09142),隋歆(09143),瞿辛佳(10030),沈婷(11073),陈佳(11074),朱洋(11092),王伊达(13093),郭怡然(20161),卡得丽娅·库尔班(20165),苗昊(2100569),庄媛(22164),张晓音(24131) 星期日1-2节 [1-16] 学院安排"
CAM001201,科幻电影赏析,人文经典与审美素养,四平路校区,海力洪(11069) 星期四9-10节 [1-16] 南208
CAM236201,发声2,专业基础课,四平路校区,赵翎雅(20079) 星期四9-10节 [1-16] 三教516
CAM256201,剧本创作与分析,专业选修课,四平路校区,马绪峰(24193) 星期四7-8节 [1-16] 三教601
